type,recipe_id,baking powder,baking soda,butter,buttermilk,chocolate,cornmeal,cream cheese,eggs,flour,fruit,fruit juice,honey,margarine,milk,nut,oats,oil,other,salt,sour cream,spice,starch,sugar,unitless,vanilla,vegetable,vinegar,water,yogurt
Muffin,7113,0.0021701354166666666,8.680541666666666e-4,0,0,0.041666666666666664,0,0,0.16666666666666666,0.125,0.10416666666666667,0,0,0,0,0,0,0,0,2.1701354166666666e-4,0,8.680541666666666e-4,0,0.0625,0,0,0,0,0,0
Muffin,18347,0.005208333333333333,0,0.041666666666666664,0,0,0.041666666666666664,0,0.08333333333333333,0.10416666666666667,0.08333333333333333,0,0,0,0.08333333333333333,0,0,0,0,8.680541666666666e-4,0,0,0,0.041666666666666664,0,0,0,0,0,0
Cupcake,235906,0,0,0.013020833333333334,0,0,0,0.08333333333333333,0.16666666666666666,0.005208333333333333,0,8.680541666666666e-4,0,0,0,0.052083333333333336,0,0,0.03125,0,0.010416666666666666,4.340270833333333e-4,0,0.026041666666666668,0.041666666666666664,8.680541666666666e-4,0,0,0,0
Muffin,27326,0.0034722166666666665,0,0.010416666666666666,0.041666666666666664,0,0,0,0.16666666666666666,0.1875,0,0.041666666666666664,0,0,0,0,0,0.027777777777777776,0,8.680541666666666e-4,0,0.005208325,0,0.09895833333333333,0,0.0017361083333333333,0,0,0,0
Muffin,218614,0.0034722166666666665,0,0,0,0,0,0,0.08333333333333333,0.125,0.20833333333333334,0,0,0,0.027777777777777776,0,0,0.027777777777777776,0,8.680541666666666e-4,0,0,0,0.0625,0,0,0,0,0,0
Cupcake,262507,0.0026041625,0,0,0,0,0,0.041666666666666664,0.16666666666666666,0.125,0.0034722166666666665,0.0182291625,0,0,0.041666666666666664,0.08333333333333333,0,0.0625,0,4.340270833333333e-4,0,0,0,0.20833333333333334,0,0.0017361083333333333,0,0,0,0
Muffin,59248,8.680541666666666e-4,8.680541666666666e-4,0,0,0,0,0,0.16666666666666666,0.13194444444444445,0.06944444444444445,0,0,0,0,0.027777777777777776,0,0,0,8.680541666666666e-4,0,0.0026041625,0,0.1111111111111111,0,0,0.10069444444444445,0,0,0
Muffin,42719,0.0017361083333333333,0.0017361083333333333,0.027777777777777776,0,0,0,0,0.08333333333333333,0.125,0,0,0,0,0,0,0,0,0,8.680541666666666e-4,0,0,0,0.0625,0.08333333333333333,0,0,0,0,0
Muffin,150141,8.680541666666666e-4,8.680541666666666e-4,0.0026041666666666665,0.041666666666666664,0,0,0,0.041666666666666664,0.10416666666666667,0.0625,0,0,0,0,0.020833333333333332,0,0.020833333333333332,0,4.340270833333333e-4,0,8.680541666666666e-4,0,0.06597222222222222,0,8.680541666666666e-4,0,0,0,0
Muffin,8443,0.0034722166666666665,0,0.041666666666666664,0,0,0,0,0.16666666666666666,0.16666666666666666,0.125,0,0,0,0.041666666666666664,0,0,0,0,8.680541666666666e-4,0,0,0,0.10416666666666667,0,0,0,0,0,0
Cupcake,260789,0.0026041625,4.340270833333333e-4,0.10416666666666667,0,0.09722222222222221,0,0,0.08333333333333333,0.1111111111111111,0,0,0,0,0.09375,0,0,0,8.680541666666666e-4,4.340270833333333e-4,0,4.340270833333333e-4,0,0.5,0,0.0034722166666666665,0,0,0,0
Cupcake,69133,0.0026041666666666665,0,0.041666666666666664,0,0.08854166666666667,0,0,0.125,0.09375,0,0,0,0,0.03125,0.020833333333333332,0,0,0,0,0,0,0,0.0625,0.041666666666666664,8.680541666666666e-4,0,0,0,0
Cupcake,220884,0.0015190947916666666,0,0.0625,0,0,0,0,0.08333333333333333,0.0625,0,0,0,0,0.020833333333333332,0.020833333333333332,0,0,0,2.1701354166666666e-4,0,0,0,0.20833333333333334,0.041666666666666664,0.0021701354166666666,0,0,0,0
Cupcake,234807,0.0017361083333333333,4.340270833333333e-4,0.020833333333333332,0.0625,0.015625,0,0,0.16666666666666666,0.1111111111111111,0,0,0,0,0,0,0,0,0.005208333333333333,8.680541666666666e-4,0,0,0,0.08333333333333333,0,0.0017361083333333333,0,0.0034722166666666665,0,0
Muffin,231643,0,0.0026041625,0,0,0,0,0,0.16666666666666666,0.08333333333333333,0.041666666666666664,0,0,0,0,0.08333333333333333,0.041666666666666664,0.020833333333333332,0,0.0017361083333333333,0,0.0026041625,0,0.041666666666666664,0.25,0,0,0,0,0.020833333333333332
